Substance,Macro-region,Sector,2000,2005,2010,2015
CO2,Africa and Middle East,Deforestation,1644.161015,1663.172419,1731.958434,1741.719563
CO2,Africa and Middle East,Forest Remaining Forest,-3357.569405,-3205.705185,-3261.415081,-3205.278808
CO2,Africa and Middle East,Land converted to Forest,-2.48878,-2.972719377,-2.645009717,-2.56097529
CO2,Africa and Middle East,Organic Soil,0,0,0,0
CO2,Africa and Middle East,Other,-13.80107757,-3.883874068,7.136240751,4.287745972
CO2,Asia and developing Pacific,Deforestation,578.8067133,769.2215574,801.8430584,1236.960609
CO2,Asia and developing Pacific,Forest Remaining Forest,651.163039,779.8794653,838.6096565,910.163442
CO2,Asia and developing Pacific,Land converted to Forest,-25.45283667,-26.44697,-27.95867,-15.82062917
CO2,Asia and developing Pacific,Organic Soil,268.217,280.8026,313.0092,351.7186
CO2,Asia and developing Pacific,Other,-359.7679249,-367.028386,-428.2885361,-544.0397762
CO2,Asia-Pacific developed,Deforestation,89.20522193,104.5606494,70.40235417,54.63422836
CO2,Asia-Pacific developed,Forest Remaining Forest,-704.8645987,-701.7898739,-708.7427689,-611.6674727
CO2,Asia-Pacific developed,Land converted to Forest,-49.54696606,-51.71213553,-54.22765515,-58.63659118
CO2,Asia-Pacific developed,Organic Soil,6.906646998,6.975791128,7.083097063,7.097403673
CO2,Asia-Pacific developed,Other,-22.53560885,-4.835531485,6.735292134,-8.560433388
CO2,Eastern Europe and West-Central Asia,Deforestation,6.807690138,5.188214434,7.982667741,11.15872199
CO2,Eastern Europe and West-Central Asia,Forest Remaining Forest,-2134.382672,-2074.782661,-2141.034294,-1331.05219
CO2,Eastern Europe and West-Central Asia,Land converted to Forest,-28.22357555,-26.27088027,-25.73576464,-23.72434365
CO2,Eastern Europe and West-Central Asia,Organic Soil,55.69679244,54.91408157,54.1313707,53.34865982
CO2,Eastern Europe and West-Central Asia,Other,37.00134841,9.920921053,-15.14104042,3.857550582
CO2,EU27,Deforestation,30.41896562,37.63966837,37.49388892,33.82685529
CO2,EU27,Forest Remaining Forest,-501.6271827,-398.7997611,-405.4670709,-348.9433828
CO2,EU27,Land converted to Forest,-48.12635325,-58.16780847,-58.55754582,-50.1050801
CO2,EU27,Organic Soil,93.39461789,92.53221434,91.85600522,91.21491623
CO2,EU27,Other,19.71504762,11.213952,9.551813191,13.85386818
CO2,Latin America and Caribbean,Deforestation,2110.678369,2604.713773,1412.165991,1301.33539
CO2,Latin America and Caribbean,Forest Remaining Forest,-2417.152104,-2140.105278,-2375.850828,-2239.406956
CO2,Latin America and Caribbean,Land converted to Forest,-25.82160411,-73.97328798,-96.94041543,-67.97621603
CO2,Latin America and Caribbean,Organic Soil,0,0,0,0
CO2,Latin America and Caribbean,Other,-38.91342607,9.015633333,-15.46014618,-15.59273882
CO2,North America,Deforestation,74.19307419,73.55153822,72.88358687,69.61424412
CO2,North America,Forest Remaining Forest,-1144.284077,-1194.901884,-1583.805354,-1470.516634
CO2,North America,Land converted to Forest,-110.9176531,-111.1458279,-111.1723512,-111.0278899
CO2,North America,Organic Soil,5.590501429,5.544158607,5.51754098,5.47786099
CO2,North America,Other,-113.866807,-125.9243199,-118.5519889,-100.7918217
CO2,World,Deforestation,4542.026391,5266.015819,4146.443903,4462.893951
CO2,World,Forest Remaining Forest,-10498.10948,-9917.910203,-10629.72516,-9238.010644
CO2,World,Land converted to Forest,-293.1945475,-353.6845049,-380.6045959,-333.5170041
CO2,World,Organic Soil,521.3245582,530.8184356,560.0902651,595.7109902
CO2,World,Other,-541.6406489,-517.9733507,-590.3827403,-671.2077404
CO2,Africa and Middle East,Net flux,-1729.698248,-1549.389359,-1524.965416,-1461.832474
CO2,Asia-Pacific developed,Net flux,-680.8353047,-646.8011004,-678.7496807,-617.1328652
CO2,Asia and developing Pacific,Net flux,1112.965991,1436.428267,1497.214709,1938.982246
CO2,Eastern Europe and West-Central Asia,Net flux,-2063.100417,-2031.030324,-2119.797061,-1286.411601
CO2,EU27,Net flux,-406.2249048,-315.5817349,-325.1229094,-260.1528232
CO2,Latin America and Caribbean,Net flux,-371.2087652,399.6508404,-1076.085399,-1021.640521
CO2,North America,Net flux,-1289.284961,-1352.876335,-1735.128566,-1607.24424
CO2,World,Net flux,-6269.593727,-4992.733804,-6894.178328,-5184.130447